Vol,L/H,W/H,Inclination,Stiffness_N/mm,Modulus_MPa,plaload_N,yield_stress_MPa
0.15,3.0,3.0,13.262676008304846,5185.439070714142,57.61598967460157,2237.4711371368667,2.486079041263185
0.15,3.0,2.8,13.695206426775814,5355.559156247623,63.7566566219955,2226.2858979790567,2.6503403547369717
0.15,3.0,2.6,14.138459846902142,5515.745718299207,70.71468869614365,2204.561950901053,2.8263614755141706
0.15,2.8,2.8,14.173031623698508,5558.539930942679,70.89974401712604,2223.4069701814087,2.8359782782926133
0.15,3.0,2.4,14.589757475183662,5644.565710432229,78.3967459782254,2169.742796374296,3.013531661630966
0.15,2.8,2.6,14.666055083851841,5743.839761258368,78.89889781948307,2210.1286308428535,3.035890976432491
0.15,3.0,2.2,15.0455615100185,5743.9770932069505,87.02995595768108,2119.4885400837697,3.2113462728541973
0.15,2.8,2.4,15.171668148157188,5910.364838644692,87.95185771792696,2184.3472007047408,3.250516667715388
0.15,2.6,2.6,15.214413958603174,5960.229422518627,88.16907429761284,2203.4827263465086,3.259589831873533
0.15,3.0,2.0,15.501359566936994,5801.314135341871,96.68856892236452,2053.597404641986,3.422662341069977
0.15,2.8,2.2,15.686227770169909,6035.577133533638,97.98014827164995,2138.903547192229,3.4722460181692028
0.15,2.6,2.4,15.781178507072331,6157.151760221457,98.67230384970286,2183.8802348663435,3.4998080686960638
0.15,3.0,1.8,15.95157693759426,5792.652768960477,107.27134757334218,1964.8024750301067,3.6385231019076048
0.15,2.8,2.0,16.204873488444914,6120.894150438477,109.30168125782996,2080.394781068267,3.714990680479049
0.15,2.6,2.2,16.36277217931466,6321.003067239615,110.50704663006321,2150.3980487771114,3.7594371482117332
0.15,3.0,1.6,16.389540334034788,5701.770454652755,118.78688447193241,1853.6174272492826,3.861702973436005
0.15,2.4,2.4,16.416440373585466,6389.099617713123,110.92186836307505,2172.9250286861147,3.772439285913393
0.15,2.8,1.8,16.7213654139418,6142.907076586402,121.88307691639685,2000.1080116564121,3.9684682770960564
0.15,3.0,1.4,16.80752146828809,5520.060469450168,131.43001117738496,1716.6834327930137,4.0873415066500325
0.15,2.6,2.0,16.954124700703453,6437.627258237945,123.80052419688356,2098.631354445019,4.0358295277788825
0.15,2.4,2.2,17.074212172473526,6581.4648900702305,124.64895625133013,2149.4256655889444,4.070881942403304
0.15,3.0,1.2,17.19689003880293,5217.4575382576095,144.92937606271138,1551.6318534239153,4.310088481733098
0.15,2.8,1.6,17.227975230647665,6076.6507229216,135.6395250652143,1893.4410171102609,4.226430841763976
0.15,3.0,1.0,17.5484006137923,4774.331555131018,159.1443851710339,1355.815080401566,4.5193836013385535
0.15,2.6,1.8,17.5484006137923,6495.95444541047,138.80244541475363,2026.6004050227218,4.330342745775047
0.15,2.8,1.4,17.715472343667894,5912.0998090428975,150.81887267966576,1761.0659088259008,4.49251507353546
0.15,2.4,2.0,17.74946346093209,6739.342150733562,140.40296147361587,2105.9356145678335,4.387365863682986
0.15,2.2,2.2,17.818037345541306,6827.624300704112,141.06661778314282,2133.4648760804707,4.407985281157998
0.15,2.6,1.6,18.136772225207924,6458.785096736039,155.25925713307788,1927.2880587759207,4.632903987442117
0.15,2.8,1.2,18.173253921893558,5612.376555978357,167.0350165469749,1598.3416218409382,4.75696911262184
0.15,2.4,1.8,18.434948822922014,6836.534866566292,158.25312191125678,2042.6785915855105,4.7284226657072015
0.15,2.8,1.0,18.58966564543438,5170.443924988293,184.6587116067247,1404.7845930554279,5.017087832340813
0.15,2.2,2.0,18.58966564543438,7027.737604770528,159.72130919933016,2102.5786869079134,4.778587924790712
0.15,2.6,1.4,18.708296808613483,6321.012622628088,173.6541929293431,1800.2042014033104,4.9456159379211835
0.15,2.4,1.6,19.120798196476322,6845.320738457182,178.26356089732246,1954.163834305224,5.088968318503189
0.15,2.6,1.2,19.249975204623933,6037.860173274271,193.5211593998164,1643.3733498994045,5.267222275318604
