name,batch,number,size(l),size(w),size(h),weight,description
lattice11,1,1,10.12,0,12.75,3.1,孔过小
lattice11,1,2,10.13,0,13.06,3.1,孔过小
lattice11,1,3,10.17,0,12.79,3.1,孔过小
lattice12,1,1,10.13,0,12.82,3.7,孔过小
lattice12,1,2,10.15,0,12.8,3.7,孔过小
lattice12,1,3,10.13,0,12.76,3.7,孔过小
lattice12,1,4,10.15,0,12.77,3.7,孔过小
lattice12,1,5,10.15,0,12.8,3.7,孔过小
lattice13,1,1,10.15,0,13.08,4.4,孔过小
lattice13,1,2,10.12,0,13.02,4.4,孔过小
lattice13,1,3,10.15,0,13.04,4.2,孔过小
lattice14,1,1,10.12,0,12.77,3.7,孔过小
lattice14,1,2,10.13,0,13.05,3.7,孔过小
lattice14,1,3,10.14,0,12.81,3.7,孔过小
lattice15,1,1,10.15,0,12.8,3.7,孔过小
lattice15,1,2,10.15,0,12.81,3.6,孔过小
lattice15,1,3,10.11,0,13.11,3.6,孔过小
lattice12,2,1,10.35,9.95,11.89,0,孔正常
lattice12,3,1,10.3,9.89,11.88,0,孔正常
lattice12,3,2,10.3,9.95,11.9,0,孔正常
lattice24Y,4,1,10.28,9.68,22.3,6.4,底部孔堵塞
lattice24Y,4,2,10.28,9.7,22.38,6.4,顶部侧面孔堵塞
lattice24L,4,1,10.28,9.69,84.51,46.3,底部侧面孔堵塞翘曲
lattice24L,4,2,10.3,9.7,84.53,46.3,表面孔正常翘曲
lattice21,5,1,10.24,9.64,22.23,3.3,孔正常
lattice21,5,2,10.25,9.74,22.26,3.3,孔正常
lattice21,5,1,10.23,9.51,23.24,3.8,孔正常
lattice21,5,2,10.2,9.57,23.27,3.8,孔正常
lattice22,5,1,10.23,9.91,22.22,4.3,孔正常
lattice22,5,2,10.2,9.7,22.3,4.3,孔正常
lattice23,5,1,10.14,9.4,22.25,3.2,孔正常
lattice23,5,2,10.16,9.38,22.31,3.2,孔正常
lattice31,6,1,10.25,10.19,22.6,4.3,孔正常
lattice31,6,2,10.19,10.16,22.57,4.5,孔正常
lattice32,6,1,10.18,10.24,22.62,5,孔正常
lattice32,6,2,10.2,10.21,22.53,5.1,孔正常
lattice33,6,1,10.21,10.18,22.62,5.7,孔正常
lattice33,6,2,10.2,10.21,22.49,5.7,孔正常
lattice34,6,1,10.18,10.21,22.55,4.6,孔正常
lattice34,6,2,10.22,10.15,22.53,4.6,薄板切割不平
lattice35,6,1,10.18,10.19,22.61,5.2,薄板切割不平
lattice35,6,2,10.18,10.24,22.49,5,薄板切割不平
lattice36,6,1,10.21,10.19,22.62,5,孔正常
lattice36,6,2,10.19,10.23,22.54,4.9,孔正常
lattice37,6,1,10.19,10.2,22.61,3.3,孔正常
lattice37,6,2,10.24,10.18,22.69,3.3,薄板切割不平
lattice38,6,1,10.21,10.22,22.6,3.3,孔正常
lattice38,6,2,10.21,10.18,22.6,3.3,孔正常
lattice12,6,1,10.21,10.22,22.58,6.2,孔正常
lattice12,6,2,10.23,10.18,22.39,6.1,孔正常
